_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,Rper,LPH,w,dP/P
289.8988,48.61655,11080481,5189,4.46,0.8832,1.012,0.005,53156.08,1.542,0.7367,0.0049407115
287.11774,48.66519,11075410,4936,4.46,0.8176,7.588,0.004,24794.16,1.412,0.7149,0.0005271481
287.09637,48.67806,11075383,4934,4.5,0.8171,9.616,0.008,16233,1.314,0.6831,0.0008319468
287.0285,48.60201,11075287,5804,4.68,1.0488,19.161,0.065,2728.82,0.853,0.5064,0.0033923073
285.52972,48.6758,11072919,5755,4.36,1.0348,14.366,0.196,1493.63,0.428,0.3029,0.0136433245
283.22189,48.65674,11069573,5724,4.44,1.0261,20.12,0.304,5382.12,0.793,0.485,0.0151093439
282.71423,48.68677,11068859,4965,4.47,0.8252,27.08,0.1,7889.51,0.647,0.4571,0.0036927622
282.70779,48.63966,11068856,6280,4.71,1.1975,5.892,0.164,1273.6,0.332,0.2684,0.0278343517
298.57422,48.5131,11046341,5410,4.38,0.9408,16.335,0.023,17325.52,1.31,0.6693,0.0014080196
298.09259,48.57303,11045073,5922,4.22,1.0834,18.807,0.313,1128.7,0.415,0.2806,0.0166427394
295.66272,48.51608,11038284,5188,4.64,0.8829,19.889,0.053,7070.66,0.712,0.4533,0.0026647896
295.23941,48.57962,11037223,6387,4.32,1.2349,4.634,0.068,1970.05,0.557,0.4301,0.0146741476
293.67484,48.51135,11033504,4932,4.13,0.8166,8.597,0.025,19293.07,1.399,0.7172,0.0029079912
291.88718,48.55293,11029751,6227,4.31,1.1796,22.64,0.859,610.65,0.554,0.3001,0.0379416961
291.1936,48.59057,11028278,4661,4.93,0.7448,9.093,0.072,23767.98,1.511,0.7777,0.0079181788
290.62396,48.59501,11027238,5349,4.78,0.9248,25.979,0.614,3682.49,0.668,0.4315,0.023634474
290.16458,48.51657,11026407,4837,4.51,0.7917,19.211,0.053,16346.28,0.723,0.4325,0.0027588361
286.14801,48.59426,11019378,5439,4.61,0.9485,21.089,0.631,3232.6,0.7,0.4851,0.0299208118
285.91489,48.55399,11019007,6269,4.29,1.1937,15.881,0.149,1561.05,0.647,0.3777,0.0093822807
285.9136,48.55451,11019005,5730,4.42,1.0278,15.873,0.689,7522.17,0.598,0.4325,0.0434070434
285.39847,48.59788,11018155,5655,4.33,1.0069,16.116,0.061,10088.86,1.036,0.6025,0.0037850583
298.05698,48.41663,10990772,6444,4.59,1.2555,1.396,0.006,2847.97,0.764,0.5137,0.0042979943
297.15329,48.44359,10988344,5376,4.61,0.9319,24.119,0.453,2997.64,0.622,0.4309,0.0187818732
295.51907,48.47799,10983796,4905,4.4,0.8095,32.79,1.203,4589.59,0.771,0.4471,0.0366880146
295.18451,48.46457,10983022,6335,4.16,1.2165,5.966,0.237,2144.78,0.379,0.3185,0.039725109
295.16418,48.44736,10982977,5743,4.51,1.0315,16.865,0.563,1637.16,0.54,0.4059,0.0333827453
293.69745,48.48658,10979521,3987,4.7,0.5377,14.86,0.073,6781.19,1.108,0.6089,0.0049125168
292.56522,48.4819,10977133,6102,4.38,1.1388,9.836,0.123,1127.6,0.525,0.4024,0.0125050834
290.6785,48.47819,10973346,5830,4.55,1.0564,13.82,0.529,3116.37,0.543,0.3935,0.0382778582
290.12445,48.44479,10972370,6112,4.37,1.142,12.756,0.114,621.56,0.358,0.2604,0.0089369708
289.86758,48.43462,10971848,5446,4.49,0.9503,31.309,2.055,1327.57,0.499,0.296,0.0656360791
288.70261,48.41118,10969469,4702,4.23,0.7558,36.585,0.74,4820.11,0.683,0.3961,0.0202268689
287.35498,48.48169,10967133,6006,4.41,1.1088,16.306,0.106,614.88,0.373,0.2592,0.0065006746
284.60028,48.46724,10962806,5980,4.68,1.1009,7.925,0.019,6262.72,1.238,0.6971,0.0023974763
298.85165,48.30476,10937947,4935,4.37,0.8174,11.097,0.019,14482.62,1.185,0.6314,0.0017121745
298.40839,48.30479,10936621,6356,4.57,1.2239,2.515,0.038,1284.09,0.421,0.3082,0.0151093439
298.29108,48.3328,10936285,4984,4.42,0.8301,10.415,0.012,19041.69,1.225,0.6475,0.0011521843
297.51849,48.3589,10934285,6078,4.38,1.1312,6.553,0.521,1030.09,0.492,0.347,0.07950557
296.69089,48.38414,10931822,6028,4.59,1.1156,11.319,0.056,1576.19,0.57,0.4274,0.0049474335
293.84714,48.32194,10924462,4747,4.32,0.7679,0.378,0.005,367968.86,1.314,0.6341,0.0132275132
293.69,48.35971,10924064,4901,4.69,0.8085,40.472,1.169,1901.09,0.534,0.2909,0.0288841668
293.08423,48.39829,10922695,6382,4.62,1.2331,4.41,0.11,1251.64,0.457,0.3626,0.0249433107
293.04889,48.30844,10922610,6274,4.53,1.1954,11.789,0.131,2337.87,0.599,0.3821,0.0111120536
292.80075,48.31716,10922101,5490,4.55,0.9621,39.995,0.717,655.65,0.684,0.3548,0.0179272409
292.11942,48.34204,10920626,5836,4.48,1.0581,18.271,1.083,914.84,0.405,0.3007,0.0592742598
291.17932,48.30818,10918794,5892,4.46,1.0745,14.602,0.369,484.73,0.349,0.2741,0.0252705109
291.05066,48.33327,10918584,4633,4.34,0.7372,23.871,0.206,3372.73,0.874,0.5532,0.0086297181
290.75571,48.31662,10917964,6260,4.66,1.1907,7.316,0.175,537.87,0.313,0.2677,0.023920175
290.29633,48.30444,10917136,5405,4.59,0.9395,25.452,1.463,4003.05,0.529,0.3696,0.0574807481
290.22946,48.39726,10916996,4228,4.7,0.6339,41.811,1.783,3166.74,0.445,0.2656,0.0426442802
288.67825,48.39689,10913762,5214,4.52,0.8896,6.387,0.015,9140.31,1.263,0.6498,0.0023485204
283.75134,48.33808,10905926,5466,4.56,0.9557,21.86,0.151,3931.22,0.879,0.529,0.0069075938
283.72171,48.35439,10905873,5374,4.43,0.9313,11.167,0.041,14842.15,1.29,0.7223,0.0036715322
283.2106,48.33465,10905173,5034,4.45,0.8431,7.495,0.022,18056.99,1.353,0.6886,0.0029352902
282.56842,48.32037,10904339,5906,4.47,1.0786,11.379,0.151,1260.19,0.469,0.3351,0.0132700589
282.21628,48.35411,10903807,4986,4.23,0.8306,23.577,0.09,6058.25,0.971,0.5795,0.0038172796
298.32706,48.29435,10879451,6415,4.55,1.2449,2.03,0.041,961.21,0.522,0.3799,0.0201970443
297.5878,48.21163,10877084,5785,4.54,1.0434,10.057,0.066,3681.36,0.944,0.5836,0.0065625932
296.9487,48.22281,10874973,5076,4.47,0.8539,10.822,0.068,8554.25,1.302,0.6966,0.0062834966
296.64801,48.25935,10874032,6347,4.08,1.2207,2.32,0.005,6920.22,1.225,0.7034,0.0021551724
293.77725,48.25799,10865801,6400,4.53,1.2395,2.398,0.004,7688.97,1.03,0.6402,0.0016680567
292.64117,48.28801,10863146,6268,4.27,1.1934,8.57,0.115,601.05,0.412,0.3151,0.0134189032
290.18948,48.28433,10857706,6396,4.38,1.2381,8.812,0.135,802.16,0.399,0.2754,0.0153200182
288.77112,48.28271,10854598,5012,4.26,0.8374,17.129,0.048,19740.97,1.209,0.6787,0.0028022652
285.58417,48.21306,10848553,5587,4.69,0.9882,13.565,0.157,3851.53,1.001,0.6261,0.0115739034
281.31586,48.20482,10841623,5018,4.42,0.8389,16.557,0.134,11670.59,1.083,0.6305,0.0080932536
299.04022,48.14418,10818810,5640,4.39,1.0027,6.028,0.069,15841.28,1.372,0.7296,0.0114465826
297.52539,48.18608,10813362,6158,4.39,1.1568,6.988,0.069,1321.32,0.512,0.3822,0.0098740698
297.48151,48.12714,10813190,6374,4.12,1.2302,2.741,0.261,708.94,0.345,0.2601,0.0952207224
296.43381,48.16583,10809517,6289,4.45,1.2006,3.715,0.008,2044.44,0.942,0.5997,0.002153432
296.36282,48.10354,10809280,4756,4.26,0.7703,40.305,3.953,2354.09,0.464,0.2606,0.0980771616
293.91129,48.15084,10802368,5151,4.12,0.8733,11.869,0.13,10379.49,1.15,0.6307,0.0109529025
292.81387,48.18977,10799567,4965,4.49,0.8252,23.827,0.838,4083.87,0.705,0.4624,0.0351701851
291.60153,48.10454,10796663,5336,4.16,0.9214,7.305,0.053,13264.66,1.378,0.7222,0.0072553046
290.75586,48.14818,10794559,5332,4.37,0.9203,14.294,0.205,9410.26,0.957,0.5713,0.0143416818
290.39767,48.11788,10793731,4224,4.41,0.6323,17.631,0.011,5574.55,1.001,0.5758,0.0006239011
290.38986,48.19144,10793697,6211,4.25,1.1742,8.567,0.078,435.53,0.36,0.2968,0.0091047041
289.21158,48.11311,10790803,5653,4.48,1.0063,19.701,0.128,3932.24,0.621,0.4307,0.0064971321
288.94971,48.19094,10790253,5060,4.04,0.8498,10.551,0.023,19993.25,1.383,0.7404,0.0021798882
285.10049,48.14905,10782730,5617,4.05,0.9964,19.072,1.433,2505.96,0.989,0.5681,0.0751363255
283.22519,48.19995,10779420,4777,4.24,0.7759,21.812,0.087,8675.37,0.992,0.6169,0.0039886301
281.68469,48.13855,10776637,5433,3.92,0.9469,8.911,0.045,10453.73,1.217,0.6682,0.0050499383
298.63184,48.04538,10752002,6222,4.37,1.1779,10.517,0.093,977.46,0.55,0.3783,0.0088428259
298.20618,48.06271,10750270,5838,4.62,1.0587,10.307,0.036,5346.89,0.967,0.6037,0.0034927719
297.37738,48.02668,10747121,5862,4.51,1.0657,11.072,0.166,1061.92,0.372,0.2543,0.0149927746
296.88544,48.00953,10745334,6287,4.61,1.1999,6.479,0.129,763.89,0.304,0.2561,0.01991048
296.6636,48.08167,10744500,6263,4.59,1.1917,3.241,0.004,7186.86,1.107,0.6577,0.001234187
296.60638,48.02133,10744309,5541,4.85,0.9757,13.96,0.112,6721.32,1.198,0.6663,0.0080229226
296.60132,48.08428,10744297,5812,4.67,1.0511,14.188,0.098,3459.33,0.74,0.5172,0.0069072456
294.0733,48.09651,10736868,5307,4.37,0.9138,6.336,0.016,23529.38,1.142,0.6053,0.0025252525
293.91907,48.03102,10736408,5614,4.58,0.9956,22.379,0.578,2134.05,0.525,0.3644,0.025827785
